day,hr,mwh_ahead,mwh
2/14/18,1,764,780.5
2/14/18,2,752.8,751.8
2/14/18,3,743,739.1
2/14/18,4,732.1,734
2/14/18,5,742.4,754.4
2/14/18,6,793,808.9
2/14/18,7,903.6,916.2
2/14/18,8,1018.6,974.1
2/14/18,9,988.8,985.4
2/14/18,10,1004,993.2
2/14/18,11,1028.3,1004.5
2/14/18,12,1008.1,987.5
2/14/18,13,928.2,970.7
2/14/18,14,929.2,952.2
2/14/18,15,929.9,933.9
2/14/18,16,921,917.6
2/14/18,17,967.8,939
2/14/18,18,1068,1004.3
2/14/18,19,1047.6,1029.7
2/14/18,20,1029.1,1006.4
2/14/18,21,969.1,967.4
2/14/18,22,898.6,913.9
2/14/18,23,819,844
2/14/18,24,747,782.9
2/15/18,1,725.1,734.3
2/15/18,2,703,708.2
2/15/18,3,645.4,691.9
2/15/18,4,639,689.4
2/15/18,5,670.4,707.3
2/15/18,6,705.4,767.9
2/15/18,7,873.1,868.2
2/15/18,8,951.6,923.4
2/15/18,9,956.8,942.3
2/15/18,10,939.5,953.5
2/15/18,11,965,967.4
2/15/18,12,924.3,966.2
2/15/18,13,916.8,958.3
2/15/18,14,896.6,962
2/15/18,15,861.5,948.7
2/15/18,16,853.9,943.3
2/15/18,17,903.2,969.9
2/15/18,18,1009.9,1014.8
2/15/18,19,1010.7,1021.7
2/15/18,20,933.6,1001.3
2/15/18,21,916.2,956.3
2/15/18,22,798.9,889
2/15/18,23,663.8,828.3
2/15/18,24,595.8,754.7
2/16/18,1,644.1,704.2
2/16/18,2,674.9,676.4
2/16/18,3,636.6,661
2/16/18,4,630.7,658
2/16/18,5,640.3,676.2
2/16/18,6,596.1,727.7
2/16/18,7,800.1,828.7
2/16/18,8,868.5,890.3
2/16/18,9,891.7,918.5
2/16/18,10,885.5,936.1
2/16/18,11,913,943.7
2/16/18,12,912.5,948
2/16/18,13,916.3,942.4
2/16/18,14,904,935.1
2/16/18,15,891.4,916.6
2/16/18,16,885.9,914.4
2/16/18,17,916.3,935
2/16/18,18,979.3,980.1
2/16/18,19,985.5,984.3
2/16/18,20,933.5,958.2
2/16/18,21,906.5,923.3
2/16/18,22,849.3,885.1
2/16/18,23,808,834.3
2/16/18,24,738.3,776.2
2/17/18,1,750.6,733.7
2/17/18,2,731.9,708.3
2/17/18,3,732.5,697.8
2/17/18,4,740.3,697
2/17/18,5,748.8,703
2/17/18,6,762.6,733.6
2/17/18,7,777.1,773.2
2/17/18,8,821.8,819.2
2/17/18,9,882.5,853.1
2/17/18,10,905.8,876.1
2/17/18,11,915.5,882.9
2/17/18,12,930.7,873.1
2/17/18,13,906.2,863.3
2/17/18,14,905.5,847.8
2/17/18,15,860.2,860
2/17/18,16,874.5,877
2/17/18,17,912.1,920.8
2/17/18,18,994.5,973.8
2/17/18,19,1012.5,981.7
2/17/18,20,943.9,963
2/17/18,21,897.3,931.9
2/17/18,22,838.4,887.6
2/17/18,23,795.8,832.7
2/17/18,24,752.9,784.8
2/18/18,1,716.3,741.8
2/18/18,2,625.9,712.6
2/18/18,3,627.9,697.1
2/18/18,4,620.3,688.9
2/18/18,5,607.3,690.5
2/18/18,6,624.9,703.2
2/18/18,7,653.5,727.5
2/18/18,8,684.5,759.3
2/18/18,9,716.4,799.2
2/18/18,10,822.5,833.1
2/18/18,11,840.8,854.9
2/18/18,12,872.1,862.1
2/18/18,13,826.7,859.7
2/18/18,14,801.1,846.8
2/18/18,15,768.3,838.9
2/18/18,16,754.3,837.1
2/18/18,17,871.2,863.1
2/18/18,18,911.6,932
2/18/18,19,895.6,965
2/18/18,20,859.3,945.6
2/18/18,21,834.9,914.4
2/18/18,22,831.8,867.4
2/18/18,23,781.1,809.4
2/18/18,24,716.3,764.3
2/19/18,1,691.6,728.7
2/19/18,2,673.8,711.7
2/19/18,3,661.5,701.7
2/19/18,4,664.7,705.1
2/19/18,5,683.2,722.9
2/19/18,6,729.1,767
2/19/18,7,801.5,833.3
2/19/18,8,855.1,887.1
2/19/18,9,888.2,911.2
2/19/18,10,921.9,926.9
2/19/18,11,942.4,939.2
2/19/18,12,938.2,940.9
2/19/18,13,911.6,934.3
2/19/18,14,891.9,937.9
2/19/18,15,879.8,923.3
2/19/18,16,863.9,932.8
2/19/18,17,894,955
2/19/18,18,963.8,1006.9
2/19/18,19,1002.7,1010.8
2/19/18,20,944.3,978.8
2/19/18,21,905,930.9
2/19/18,22,810.3,864.9
2/19/18,23,747.5,806.6
2/19/18,24,717,733
2/20/18,1,682.4,684.4
2/20/18,2,625.2,650.7
2/20/18,3,634.5,638.1
2/20/18,4,632.7,639.6
2/20/18,5,639.4,654.6
2/20/18,6,652.6,711.3
2/20/18,7,867.8,794.1
2/20/18,8,904.6,855.3
2/20/18,9,902.5,886
2/20/18,10,941.2,909.9
2/20/18,11,984.9,917.5
2/20/18,12,977,919.4
2/20/18,13,919.6,908.3
2/20/18,14,915.1,908.9
2/20/18,15,905.8,895.5
2/20/18,16,887.5,890.9
2/20/18,17,916.4,900
2/20/18,18,1031.5,949.7
2/20/18,19,980.5,975.6
2/20/18,20,917.4,949.8
2/20/18,21,866.5,905.2
2/20/18,22,762.8,843.7
2/20/18,23,705.1,784.6
2/20/18,24,654.3,716.3
2/21/18,1,658.6,667.7
2/21/18,2,622.4,645.1
2/21/18,3,583.4,628.9
2/21/18,4,580.4,626.4
2/21/18,5,595.6,646.3
2/21/18,6,656,697.6
2/21/18,7,796.8,781.1
2/21/18,8,872.7,845.4
2/21/18,9,856.9,878
2/21/18,10,882.2,899.8
2/21/18,11,903.5,913.2
2/21/18,12,904.2,917.4
2/21/18,13,915.1,907.4
2/21/18,14,909.6,906.4
2/21/18,15,906.1,899.6
2/21/18,16,887.2,888.5
2/21/18,17,911.3,898.2
2/21/18,18,950.6,943.8
2/21/18,19,940.7,975.9
2/21/18,20,883,948.9
2/21/18,21,833.6,907.6
2/21/18,22,780.5,837
2/21/18,23,692.2,780.6
2/21/18,24,654.4,707.8
2/22/18,1,638,656.3
2/22/18,2,603.9,628.2
2/22/18,3,593.2,615.1
2/22/18,4,590.4,607.9
2/22/18,5,610.8,629.7
2/22/18,6,671.9,682.4
2/22/18,7,831.5,767.7
2/22/18,8,908.1,838.7
2/22/18,9,943.5,878
2/22/18,10,947.5,903
2/22/18,11,991,923.3
2/22/18,12,1003.8,936
2/22/18,13,972.2,934.8
2/22/18,14,960.8,945.9
2/22/18,15,949.1,945.6
2/22/18,16,942.2,948.8
2/22/18,17,984.7,975.9
2/22/18,18,1060.8,1018.6
2/22/18,19,1093.7,1033.9
2/22/18,20,1066,1009.6
2/22/18,21,1005.9,967.2
2/22/18,22,929.5,913
2/22/18,23,849.1,832.6
2/22/18,24,763,783.4
2/23/18,1,727.7,732.5
2/23/18,2,704.3,703
2/23/18,3,698.9,689.3
2/23/18,4,693.4,687.7
2/23/18,5,704.4,712.4
2/23/18,6,757.6,762.3
2/23/18,7,951.7,841.7
2/23/18,8,958.5,895.9
2/23/18,9,960.2,917.8
2/23/18,10,977.7,931.8
2/23/18,11,976,944.7
2/23/18,12,969.3,956
2/23/18,13,953.9,951.6
2/23/18,14,983.4,963.2
2/23/18,15,972.9,960.3
2/23/18,16,967.4,949.2
2/23/18,17,1035.6,968.4
2/23/18,18,1084.4,1006.2
2/23/18,19,1038.7,1010.4
2/23/18,20,1018.9,983.1
2/23/18,21,946.9,943.7
2/23/18,22,853.3,895.3
2/23/18,23,830,829.5
2/23/18,24,759.1,776.8
2/24/18,1,702,725.7
2/24/18,2,678.3,697
2/24/18,3,664.5,677
2/24/18,4,658.3,668.3
2/24/18,5,662.8,669.7
2/24/18,6,681.3,688.9
2/24/18,7,703.3,723.9
2/24/18,8,733.3,759.7
2/24/18,9,785.9,792.3
2/24/18,10,820.5,814
2/24/18,11,832.4,820.6
2/24/18,12,829.6,817.5
2/24/18,13,821.7,817.9
2/24/18,14,817.5,828.5
2/24/18,15,802.1,835.9
2/24/18,16,803.8,842.5
2/24/18,17,839.3,859.8
2/24/18,18,887.8,901.5
2/24/18,19,896.9,910.3
2/24/18,20,865.4,884.3
2/24/18,21,830.8,852.1
2/24/18,22,794.2,816.8
2/24/18,23,728.7,761.7
2/24/18,24,692.4,718.3
2/25/18,1,694.5,677.6
2/25/18,2,673.6,654
2/25/18,3,671.2,640.5
2/25/18,4,650,635.5
2/25/18,5,654.8,638.8
2/25/18,6,666.5,654.6
2/25/18,7,682.7,683.6
2/25/18,8,745.1,722
2/25/18,9,793.7,778.1
2/25/18,10,844.2,833.6
2/25/18,11,875.1,873.6
2/25/18,12,878.8,899
2/25/18,13,903.9,914.2
2/25/18,14,901,918.6
2/25/18,15,874.9,910.6
2/25/18,16,894.5,909.9
2/25/18,17,927.7,930.1
2/25/18,18,1016.4,965.9
2/25/18,19,1028.2,981.3
2/25/18,20,898.4,957.2
2/25/18,21,855.1,913.7
2/25/18,22,821.7,849.7
2/25/18,23,742,775.5
2/25/18,24,686.1,724.8
2/26/18,1,678.6,683.2
2/26/18,2,667.2,657.5
2/26/18,3,657,648.1
2/26/18,4,653,647.3
2/26/18,5,662.9,674.3
2/26/18,6,712.4,735.4
2/26/18,7,829.8,833.7
2/26/18,8,916.7,892.6
2/26/18,9,905.8,913.5
2/26/18,10,937.8,934.3
2/26/18,11,938.1,945.7
2/26/18,12,927.7,946.7
2/26/18,13,901.9,937.9
2/26/18,14,901.6,920.6
2/26/18,15,903.6,903.7
2/26/18,16,900.1,897.3
2/26/18,17,910.6,909.2
2/26/18,18,1005.7,966
2/26/18,19,1059.4,1013.6
2/26/18,20,941.2,994.5
2/26/18,21,891.4,950.7
2/26/18,22,856.1,893
2/26/18,23,792.4,812.7
2/26/18,24,764,753.8
2/27/18,1,715.9,710.2
2/27/18,2,694.1,685.8
2/27/18,3,684.1,675.3
2/27/18,4,683.5,678.8
2/27/18,5,686.8,706.1
2/27/18,6,768.8,768.1
2/27/18,7,908.2,865.8
2/27/18,8,981.2,909.6
2/27/18,9,985.9,910.2
2/27/18,10,952.7,902
2/27/18,11,949.3,900.3
2/27/18,12,911,894.5
2/27/18,13,882.8,881.2
2/27/18,14,875.3,879.9
2/27/18,15,903.2,870.1
2/27/18,16,876.6,864.1
2/27/18,17,909.9,882.7
2/27/18,18,973.9,939.7
2/27/18,19,982.2,990.9
2/27/18,20,959.6,974.8
2/27/18,21,925.3,935.8
2/27/18,22,840.4,876.6
2/27/18,23,767.7,810.5
2/27/18,24,712.2,746.6
2/28/18,1,710.5,700.6
2/28/18,2,679.4,677.6
2/28/18,3,673,666.5
2/28/18,4,671.4,666.4
2/28/18,5,677.1,685.8
2/28/18,6,720.7,750.5
2/28/18,7,831.8,845.2
2/28/18,8,892.8,895.6
2/28/18,9,928.6,893.8
2/28/18,10,891.5,893.2
2/28/18,11,913.6,888.5
2/28/18,12,912.2,883.5
2/28/18,13,870.5,873.6
2/28/18,14,882.8,870.1
2/28/18,15,891.4,863
2/28/18,16,862.1,859.5
2/28/18,17,875.8,878.5
2/28/18,18,941.2,939.7
2/28/18,19,956.5,982.3
2/28/18,20,918.8,963.6
2/28/18,21,888.3,922.7
2/28/18,22,842.9,863
2/28/18,23,708,780.8
2/28/18,24,698.4,719.1
3/1/18,1,586.5,674.8
3/1/18,2,560.1,647.1
3/1/18,3,604,636.6
3/1/18,4,606.9,633.9
3/1/18,5,558.4,659.9
3/1/18,6,611.3,718
3/1/18,7,799.7,810.2
3/1/18,8,870.9,858.8
3/1/18,9,871.6,864.2
3/1/18,10,892.6,870.5
3/1/18,11,898,871.9
3/1/18,12,899.7,864.7
3/1/18,13,869.1,856.6
3/1/18,14,849.4,872.1
3/1/18,15,836.1,860.8
3/1/18,16,826.2,856.6
3/1/18,17,847.6,871.6
3/1/18,18,905.7,925.7
3/1/18,19,921.1,959.3
3/1/18,20,879.3,941.5
3/1/18,21,857.1,906.1
3/1/18,22,795,845.4
3/1/18,23,727.8,783.7
3/1/18,24,688.6,718.9
3/2/18,1,633.1,675.4
3/2/18,2,615.4,657.5
3/2/18,3,605.1,648.4
3/2/18,4,608.3,648.4
3/2/18,5,616.7,668
3/2/18,6,665.4,727.8
3/2/18,7,771.6,836.1
3/2/18,8,894.6,910.1
3/2/18,9,981.3,932.1
3/2/18,10,996.3,973.5
3/2/18,11,990,992.9
3/2/18,12,993.4,1000.9
3/2/18,13,981.8,980.4
3/2/18,14,993.2,955.3
3/2/18,15,978.3,901.5
3/2/18,16,990.9,863.6
3/2/18,17,1011.9,861.8
3/2/18,18,1041.4,878.3
3/2/18,19,1038.7,859.5
3/2/18,20,958,824.7
3/2/18,21,906,808
3/2/18,22,846.9,762.9
3/2/18,23,767.4,714.8
3/2/18,24,714.7,663.7
3/3/18,1,701.1,622.9
3/3/18,2,670.6,601.1
3/3/18,3,652,589.3
3/3/18,4,664.4,584.3
3/3/18,5,668.6,590.3
3/3/18,6,688,609.1
3/3/18,7,700.8,635.1
3/3/18,8,739.2,675.8
3/3/18,9,790.4,723.1
3/3/18,10,874.2,754
3/3/18,11,885.7,773.1
3/3/18,12,890.6,790.4
3/3/18,13,863.2,788.8
3/3/18,14,870.4,779.6
3/3/18,15,862.8,777.6
3/3/18,16,858.3,798.3
3/3/18,17,891.8,813.4
3/3/18,18,945.8,861.9
3/3/18,19,976.6,898.3
3/3/18,20,917,886.6
3/3/18,21,894.7,859.3
3/3/18,22,804,825.2
3/3/18,23,753.5,770.9
3/3/18,24,717.1,719.1
3/4/18,1,670.4,687.8
3/4/18,2,646.4,660
3/4/18,3,637.5,650.2
3/4/18,4,638.4,642.1
3/4/18,5,627.9,642.4
3/4/18,6,641.7,656.4
3/4/18,7,667.6,677.9
3/4/18,8,709.3,720.4
3/4/18,9,746.8,774.1
3/4/18,10,778.3,819.2
3/4/18,11,798.1,845.5
3/4/18,12,807.2,851.4
3/4/18,13,806.1,855.5
3/4/18,14,805.3,844.8
3/4/18,15,797,843.7
3/4/18,16,797.6,858.4
3/4/18,17,831.4,893.9
3/4/18,18,868.3,946.9
3/4/18,19,925.1,977.1
3/4/18,20,914.5,961.8
3/4/18,21,855.2,926.5
3/4/18,22,804.8,872.2
3/4/18,23,746.4,805.4
3/4/18,24,702.3,744.8
3/5/18,1,706.6,702.9
3/5/18,2,692,684.2
3/5/18,3,679.3,672.9
3/5/18,4,672.1,678.3
3/5/18,5,677,700.1
3/5/18,6,705,768.5
3/5/18,7,860.6,868.9
3/5/18,8,929.2,934.8
3/5/18,9,922.1,973.2
3/5/18,10,954.1,994.3
3/5/18,11,978,1005.6
3/5/18,12,935.8,1006.7
3/5/18,13,933.2,990.4
3/5/18,14,929.1,974.1
3/5/18,15,907,952.3
3/5/18,16,883,937.5
3/5/18,17,911.8,951.5
3/5/18,18,957.4,1000
3/5/18,19,994.2,1058.5
3/5/18,20,945.4,1041.5
3/5/18,21,919.3,998.9
3/5/18,22,840.8,929.8
3/5/18,23,779.2,865.5
3/5/18,24,716.3,791.3
3/6/18,1,720.5,742.5
3/6/18,2,696.6,715.5
3/6/18,3,684.8,705.1
3/6/18,4,675.8,705.7
3/6/18,5,671.8,728.9
3/6/18,6,754.3,786.2
3/6/18,7,865.8,881.8
3/6/18,8,922.4,938.5
3/6/18,9,928.7,941.8
3/6/18,10,938.5,933.2
3/6/18,11,947.4,942.1
3/6/18,12,940.8,934.1
3/6/18,13,925,921.7
3/6/18,14,918.9,919.2
3/6/18,15,909.6,906.4
3/6/18,16,903,899.9
3/6/18,17,918.4,925.5
3/6/18,18,968.9,980.6
3/6/18,19,1005.9,1042.9
3/6/18,20,976,1032.2
3/6/18,21,920.3,998.7
3/6/18,22,873.2,935.4
3/6/18,23,799.6,855.7
3/6/18,24,738.8,799.8
3/7/18,1,690.1,749.7
3/7/18,2,654.6,723.5
3/7/18,3,658,708.8
3/7/18,4,658.1,703.8
3/7/18,5,675,729.5
3/7/18,6,717.3,785.5
3/7/18,7,827.7,876.1
3/7/18,8,981.1,948.6
3/7/18,9,994.7,974.6
3/7/18,10,981.1,989.6
3/7/18,11,1003.4,1010.8
3/7/18,12,1008.3,1012.3
3/7/18,13,977.3,1009.6
3/7/18,14,980.3,1017.8
3/7/18,15,987.2,1018.1
